Latitude,Longitude,Region
0.01,-150.1,2.0
0.04,-149.5,2.0
-0.16,-149.4,2.0
-0.22,-149.3,2.0
-0.28,-149.2,2.0
18.48,-21.08,1.0
18.48,-21.08,1.0
18.48,-21.08,1.0
21.03,-31.19,1.0
21.05,-31.17,1.0
20.99,-31.14,1.0
20.94,-31.13,1.0
20.89,-31.14,1.0
18.44,-21.13,1.0
18.4,-21.16,1.0
18.34,-21.25,1.0
18.36,-21.26,1.0
18.44,-21.24,1.0
21.05,-31.13,1.0
21.04,-31.21,1.0
21.02,-31.2,1.0
21.04,-31.22,1.0
21.42,-31.14,1.0
-8.405,-141.2,2.0
-8.325,-141.3,2.0
-8.996,-136.8,2.0
-20.45,-122.9,2.0
-23.55,-117.9,2.0
-26.07,-114.0,2.0
-27.77,-107.3,2.0
-29.23,-101.5,2.0
-30.04,-98.39,2.0
-30.79,-95.43,2.0
-31.82,-91.46,2.0
-31.9,-91.41,2.0
-32.68,-84.07,2.0
-33.58,-75.84,2.0
-33.61,-75.83,2.0
-33.93,-73.36,2.0
-34.62,-72.45,0.0
31.02,-10.02,1.0
31.02,-10.02,1.0
30.98,-10.05,1.0
36.1,-5.2,0.0
30.91,-10.04,1.0
30.91,-10.04,1.0
36.41,-0.85,1.0
38.0,3.83,1.0
37.99,8.52,1.0
36.48,13.32,1.0
35.07,18.29,1.0
33.99,22.02,1.0
33.97,22.05,1.0
33.99,22.01,1.0
33.96,22.0,1.0
33.93,22.01,1.0
33.88,21.95,1.0
37.4,15.61,1.0
39.11,14.71,1.0
41.89,10.44,1.0
43.41,7.86,1.0
43.4,7.82,1.0
43.35,7.8,1.0
43.37,7.86,1.0
43.43,7.72,1.0
-21.96,166.8,2.0
-21.96,166.8,2.0
-21.95,166.8,2.0
-21.91,166.8,2.0
-21.8,166.8,2.0
-21.7,166.8,2.0
-21.62,166.9,2.0
-21.5,167.0,2.0
-21.5,167.0,2.0
-21.5,167.0,2.0
-21.5,167.0,2.0
-20.85,167.1,2.0
-20.85,167.1,2.0
-20.86,167.1,2.0
-21.95,166.8,2.0
-21.95,166.8,2.0
-21.95,166.8,2.0
-21.95,166.8,2.0
-20.86,167.1,2.0
-20.86,167.1,2.0
-20.86,167.1,2.0
-20.86,167.1,2.0
-21.51,167.0,2.0
-21.51,167.0,2.0
-21.64,167.1,2.0
-21.95,166.8,2.0
-21.95,166.8,2.0
-21.95,166.8,2.0
-21.95,166.8,2.0
-21.48,167.0,2.0
-21.52,167.0,2.0
-21.95,166.8,2.0
-21.95,166.8,2.0
-21.95,166.8,2.0
-21.95,166.8,2.0
-21.96,166.8,2.0
-21.96,166.8,2.0
-21.96,166.8,2.0
-21.96,166.8,2.0
-21.5,167.0,2.0
-21.5,167.0,2.0
-21.5,167.0,2.0
-20.84,167.1,2.0
-20.84,167.1,2.0
-20.84,167.1,2.0
-21.8,166.8,2.0
-21.91,166.8,2.0
-21.5,167.0,2.0
-21.52,167.1,2.0
-21.52,167.1,2.0
-20.63,167.6,2.0
-20.84,167.1,2.0
-20.84,167.1,2.0
-20.85,167.0,2.0
-20.85,167.0,2.0
-21.96,166.8,2.0
-21.96,166.8,2.0
-21.52,167.0,2.0
-21.52,167.0,2.0
-21.52,167.0,2.0
-20.83,167.0,2.0
-20.85,167.1,2.0
-20.85,167.1,2.0
-21.92,166.8,2.0
-21.92,166.8,2.0
-21.93,166.8,2.0
-21.93,166.8,2.0
-20.6,167.2,2.0
-20.83,167.0,2.0
-20.82,167.0,2.0
-20.82,167.1,2.0
-20.93,166.5,2.0
-22.55,166.1,2.0
-22.57,166.0,2.0
-21.52,167.0,2.0
-21.51,167.0,2.0
-20.86,167.1,2.0
-21.52,167.0,2.0
-20.0,166.4,2.0
-20.81,167.6,2.0
-21.52,167.0,2.0
-21.52,167.0,2.0
-21.52,167.0,2.0
-21.54,167.0,2.0
-21.54,167.0,2.0
-23.58,166.1,2.0
59.9,-169.2,2.0
59.9,-169.2,2.0
59.9,-174.0,2.0
59.9,-178.8,2.0
59.9,-178.8,2.0
59.99,-178.8,2.0
59.99,-178.8,2.0
59.99,-178.8,2.0
59.56,-175.2,2.0
59.56,-175.2,2.0
59.56,-175.2,2.0
61.0,-171.8,2.0
61.0,-171.8,2.0
62.2,-171.9,2.0
62.2,-171.9,2.0
59.91,-172.4,2.0
59.91,-172.4,2.0
58.05,-169.6,2.0
56.77,-164.0,2.0
56.77,-164.0,2.0
56.05,-171.3,2.0
56.97,-170.3,2.0
57.57,-170.6,2.0
57.87,-171.8,2.0
58.35,-171.8,2.0
58.35,-171.8,2.0
58.35,-171.8,2.0
58.28,-172.1,2.0
58.26,-172.5,2.0
58.33,-173.7,2.0
58.66,-174.5,2.0
58.74,-174.9,2.0
58.91,-175.8,2.0
59.33,-175.6,2.0
59.33,-175.6,2.0
58.86,-176.5,2.0
59.9,-178.9,2.0
59.9,-178.9,2.0
59.9,-178.9,2.0
59.9,-178.4,2.0
58.2,-174.2,2.0
58.22,-174.4,2.0
58.28,-172.6,2.0
58.6,-171.6,2.0
58.92,-170.6,2.0
59.07,-170.2,2.0
59.07,-170.2,2.0
58.77,-170.3,2.0
58.45,-170.2,2.0
56.92,-167.3,2.0
56.92,-167.3,2.0
58.17,-169.9,2.0
58.17,-169.9,2.0
57.74,-170.5,2.0
55.44,-168.1,2.0
55.43,-168.1,2.0
55.43,-168.1,2.0
55.99,-166.8,2.0
57.64,-163.3,2.0
56.85,-164.5,2.0
56.85,-164.5,2.0
58.62,-170.3,2.0
58.62,-170.3,2.0
61.41,-173.7,2.0
61.41,-173.7,2.0
62.19,-175.2,2.0
62.19,-175.2,2.0
